Group membership record for Fallen Star Family (avatar key, avatar name, last online, land contribution)
ab3c4efd-b4b0-4377-9313-7133c40a57cd,Sinata (SinataTaki),2016/04/10,0
ab7251d3-d257-43a5-a89f-f73e6f471da6,ღϯSƙïε Ŧαℓℓєηϯღ (AnnabelLM),Online,0
acf9ccc4-808e-43b7-a15f-68b6457ca78b,Nepнтнyѕ-Aтнena Sтarѕнιne (Elefhteria),Online,0
aebcfce5-b2e5-45d5-921e-5cc9d5851527,Michael Slaier DarkBloom (MichaelSlaier),2016/04/26,0
af324332-97c5-489f-be0b-f69eba8bf818,Nichole DarkBloom (NicholeSmith45),2016/04/26,0
b159472e-19dc-4104-892b-36c9072cb2c4,ψ Jαℓίŋ ΉãVФȻ ψ (EJHesse),2016/04/26,0
b5fed546-150f-4350-a579-eaec1f1d4ecc,ÃyмƤƦєєϯєє Ƥίχίε Sϯαŗshίηε (AymPreetee),2016/04/23,0
ba347977-b632-4c00-bb84-02d7481448d8,ღ ℬεℓℓa ღ  (BellaVixen Evermore),Online,0
c0aeb875-75ce-4cc3-a3f8-4f94d6a1e4f4,รђเภє (ashcoolboy),2016/04/23,0
c3991254-78be-4584-bd02-f8ceb2e9c4f1,GrimChild Kass (skullbloodhatter),2016/04/28,0
c6f244b5-b70b-42d2-bac5-d5ea5b0f06de,Șȟȯɹƭɏ ƧțɹȬǹɢĦēârƮ (ShortyMcFunsize),2016/04/23,0
ca8fcd06-7872-45ef-bc48-e426a0ca6737,Izzαвεℓℓα Sϯαŗshίηε (IzzabellaMonroe),2016/04/25,0
cc3eb70b-166f-4a1f-b2cc-4273448edef5, ღ ĻʋɳαẄøℓƒ ƊαŗkBℓøøм ღ (martainlafore),2016/02/22,0
cdb153d3-c8b1-4c8c-9eb9-3307470de36c,Mίçhα Sϯαŗshίηε (Micha13216),2016/03/09,0
cf8d06d6-c4c6-4991-8da9-fda3767f2e28,کøρhίε Ʀαyηε (SophieRussoG),2016/04/26,0
d2702e76-6ceb-4326-b708-7968ef383bea,ŁιŁ Ãαŗօη ÑïgђϯŦяøsϯ (thatkidaaron),2016/04/28,0
d695b17a-6504-4697-a945-0b71c53e4771,Sophie-Jeanne Władymira (mommypickles),Online,0
